TxI_fixed,TxQ_fixed,RxI_fixed,RxQ_fixed
-65536,-196608,-94455,-127980
65536,196608,58146,122386
65536,196608,33384,238206
-65536,-196608,-148345,-310215
196608,65536,146585,60324
-196608,-65536,-185044,-659
-65536,65536,-46560,33361
-65536,65536,-56870,-22378
65536,-65536,47933,-57006
196608,196608,251043,161329
-196608,-65536,-192901,-28808
-65536,-196608,-24508,-248258
-196608,-65536,-300090,-110611
-196608,196608,-425440,78703
-65536,65536,-48980,75451
-196608,65536,-279729,56149
65536,-65536,53142,-134866
196608,-196608,178984,-185302
196608,196608,289217,256527
196608,65536,219944,52960
65536,-65536,75212,-49891
65536,-196608,114366,-180663
65536,-196608,87034,-266868
196608,65536,169907,185517
-196608,65536,-134098,38067
65536,196608,793,234886
-65536,-196608,-46678,-151732
65536,196608,-24749,188464
-65536,-196608,-53638,-161208
196608,-196608,207867,-182267
-65536,-65536,32268,-148241
65536,65536,-25764,46151
65536,-196608,30480,-232344
-196608,196608,-148613,169670
196608,65536,216170,-10539
-65536,196608,-55017,262324
196608,65536,140827,158996
65536,65536,31068,122592
-196608,-196608,-123973,-122486
65536,-65536,62531,-85642
65536,-196608,87434,-233727
65536,65536,58816,20113
-65536,-196608,-134557,-159033
65536,-196608,120014,-183361
196608,65536,225966,61031
196608,65536,331118,141095
-196608,-196608,-255857,-172984
196608,-196608,244597,-245535
65536,-196608,-10979,-236332
65536,196608,74716,236395
196608,-196608,253577,-135834
-196608,196608,-317496,228793
-196608,-65536,-208564,45128
196608,196608,163750,291994
-65536,-196608,-106488,-170878
-65536,-65536,-43063,-114459
-65536,196608,-155,120184
-65536,196608,-73311,174008
196608,65536,208596,109478
-196608,-65536,-189939,41030
65536,65536,65641,89890
65536,-65536,1984,2647
196608,196608,261274,182297
65536,65536,82758,101868
-65536,-196608,-42499,-148574
-196608,196608,-243660,81119
196608,-65536,169817,-89656
-196608,-65536,-206884,-10131
196608,65536,107107,81548
196608,65536,98128,-4268
196608,-65536,161560,-207309
196608,196608,227092,175268
-196608,65536,-234712,61360
65536,-196608,6099,-248176
196608,-65536,149079,-57188
-65536,-196608,-92101,-167065
196608,-65536,175964,-26408
-196608,-196608,-70272,-334052
196608,196608,258134,119933
-65536,-65536,-5751,-83308
-196608,196608,-128433,229988
196608,65536,138337,94078
-65536,-65536,-136849,-38007
-196608,196608,-261183,174239
196608,-196608,274463,-215722
-65536,196608,-97459,154117
-196608,-65536,-269612,-20720
196608,196608,171464,142907
-196608,-196608,-210528,-147017
-65536,-196608,-49877,-184482
196608,-196608,211248,-199236
196608,65536,148292,27224
196608,-65536,236609,-144618
-65536,-196608,-102826,-234392
65536,65536,56419,46283
196608,-196608,236674,-334816
-65536,196608,-102980,185094
-196608,-65536,-229824,-11609
-196608,196608,-162090,229699
-65536,65536,-115576,36587
65536,196608,43087,199346
-65536,196608,-33114,164161
-196608,-196608,-76773,-187929
-196608,196608,-161289,286458
196608,-196608,224182,-140106
65536,-196608,96503,-166225
-65536,-65536,-128146,-94291
-196608,65536,-189864,109287
-196608,65536,-198345,-32876
-196608,65536,-177847,50814
-65536,-196608,-58739,-162554
-65536,65536,-43384,108732
65536,-196608,47365,-157527
196608,-65536,200027,-48336
196608,65536,124977,54117
196608,-196608,177945,-165223
-196608,65536,-115467,9946
196608,65536,215207,16258
-196608,-65536,-197829,-61934
65536,196608,176155,206712
-196608,65536,-275999,-40970
65536,-65536,811,-38983
65536,65536,165455,110617
196608,65536,199289,61027
196608,65536,182456,204062
-196608,65536,-266569,25694
-65536,196608,-39417,175542
196608,196608,228372,173560
196608,65536,132755,61091
-65536,65536,-73720,46358
-65536,-65536,-85110,-147609
196608,-65536,211542,-97422
-65536,-196608,-130833,-202303
-196608,196608,-123570,268283
65536,65536,118965,194014
65536,196608,44348,274519
196608,-65536,183982,-110771
196608,196608,188649,156015
-196608,196608,-242014,187313
-65536,65536,-91406,169647
196608,65536,180840,55885
65536,-65536,159630,-142983
-196608,65536,-141382,36297
-196608,-65536,-142080,-21370
-65536,-65536,-43955,-25285
196608,-196608,131423,-208289
196608,-196608,194187,-156738
-196608,-196608,-139990,-329224
65536,196608,-7871,202665
196608,-196608,233744,-146396
